config_id,model,cfg_system_prompt,few_shots,runs,successes,success_rate,median_first_success_iter,mean_first_success_iter,var_first_success_iter,median_best_error_score,median_final_error_score,median_duration_s,median_tokens
c1,gemini-2.5-flash,SPR1.txt,No,60,8,0.133,1.0,2.625,7.982,290.0,465.0,143.59996,5306.5
c2,gemini-2.5-flash,SPR1.txt,Yes,60,9,0.15,6.0,5.333,10.75,88.0,345.0,155.12132400000002,4518.5
c3,gemini-2.5-flash,SPR2.txt,No,60,7,0.117,6.0,5.571,6.286,83.0,218.0,164.486454,4654.0
c4,gemini-2.5-flash,SPR2.txt,Yes,60,13,0.217,5.0,5.0,12.0,73.0,161.0,138.87909050000002,4279.5
c5,gemini-3-pro-preview,SPR1.txt,No,60,38,0.633,1.0,1.684,0.708,0.0,0.0,104.965884,1166.0
c6,gemini-3-pro-preview,SPR1.txt,Yes,60,60,1.0,1.0,1.817,1.983,0.0,0.0,57.361386499999995,743.5
c7,gemini-3-pro-preview,SPR2.txt,No,60,45,0.75,1.0,1.4,0.518,0.0,0.0,72.1788385,621.5
c8,gemini-3-pro-preview,SPR2.txt,Yes,60,59,0.983,1.0,1.576,0.8,0.0,0.0,68.877368,793.5
